scenario,cluster_count,cluster_size,sample_size,epsilon,method,effect,replications,bias,mcse_bias,rmse,mcse_rmse,projected_rmse,mcse_projected_rmse,outside_parameter_space,empirical_standard_deviation,average_standard_error,standard_error_ratio,coverage,mcse_coverage,coverage_low,coverage_high,average_interval_length,average_projected_interval_length
linear,50,32,1600,1,naive_bit,direct_high,400,-0.08803515625,0.003157099389,0.1082918837,0.002691607859,0.1082918837,0.002691607859,0,0.06314198778,0.0628756477,0.9957818864,0.7225,0.02238826422,0.6766612653,0.7641057637,0.2527066893,0.2527066893
linear,50,32,1600,1,naive_bit,direct_low,400,-0.07699609375,0.00304482491,0.09811988069,0.002770319185,0.09811988069,0.002770319185,0,0.06089649819,0.06020903919,0.9887110256,0.7175,0.02251076132,0.6714724243,0.7593897276,0.2419891884,0.2419891884
linear,50,32,1600,1,naive_bit,spillover_control,400,-0.06293359375,0.006947523243,0.1523797914,0.005064180018,0.1523797914,0.005064180018,0,0.1389504649,0.1381612108,0.9943198889,0.92,0.01356465997,0.8892454232,0.9427642496,0.5552906959,0.5552906959
linear,50,32,1600,1,naive_bit,spillover_treated,400,-0.07397265625,0.007746463148,0.1715080835,0.006029513226,0.1715080835,0.006029513226,0,0.154929263,0.1570032496,1.013386668,0.9275,0.01296569994,0.8978175067,0.9490494816,0.6310196849,0.6310196849
linear,50,32,1600,1,nonprivate,direct_high,400,0.002482746325,0.002546223923,0.05092134405,0.00178245772,0.05092134405,0.00178245772,0,0.05092447846,0.04979983417,0.9779154481,0.9425,0.01163977556,0.9151991623,0.9613824572,0.2001530271,0.2001530271
linear,50,32,1600,1,nonprivate,direct_low,400,-0.004147688356,0.002126002952,0.0426689448,0.001408876073,0.0426689448,0.001408876074,0,0.04252005903,0.04228821433,0.9945474039,0.935,0.01232629304,0.9064647858,0.9552595181,0.1699626967,0.1699626967
linear,50,32,1600,1,nonprivate,spillover_control,400,0.008907776336,0.005676697153,0.1137412846,0.003734783309,0.1137412846,0.003734783309,0,0.1135339431,0.1141405672,1.005343108,0.95,0.01089724736,0.9240363649,0.9674025702,0.4587481147,0.4587481147
linear,50,32,1600,1,nonprivate,spillover_treated,400,0.01553821102,0.007697163055,0.1545338711,0.005037239536,0.1545338711,0.005037239536,0,0.1539432611,0.1573685141,1.0222501,0.9575,0.01008634597,0.9329979457,0.973298305,0.6324877381,0.6324877381
linear,50,32,1600,1,one_bit,direct_high,400,0.004124037968,0.005322632209,0.1063994489,0.003530446254,0.1063994489,0.003530446254,0,0.1064526442,0.1074830562,1.009679534,0.9475,0.01115165346,0.9210780249,0.9654084716,0.4319905761,0.4319905761
linear,50,32,1600,1,one_bit,direct_low,400,-0.009559542841,0.005294908448,0.1061968502,0.003704893665,0.1061968502,0.003704893665,0,0.105898169,0.1025494154,0.9683776068,0.95,0.01089724736,0.9240363649,0.9674025702,0.4121615316,0.4121615316
