scenario,cluster_count,cluster_size,sample_size,epsilon,method,effect,replications,bias,mcse_bias,rmse,mcse_rmse,projected_rmse,mcse_projected_rmse,outside_parameter_space,empirical_standard_deviation,average_standard_error,standard_error_ratio,coverage,mcse_coverage,coverage_low,coverage_high,average_interval_length,average_projected_interval_length
linear,50,8,400,1,naive_bit,direct_high,400,-0.08796875,0.006214434955,0.1521432302,0.005120557539,0.1521432302,0.005120557539,0,0.1242886991,0.1236368946,0.994755722,0.905,0.01466074691,0.8722916531,0.9300033885,0.4969152836,0.4969152836
linear,50,8,400,1,naive_bit,direct_low,400,-0.0760625,0.006294776168,0.1469542871,0.004513569711,0.1469542871,0.004513569711,0,0.1258955234,0.1184220747,0.9406376936,0.855,0.01760504189,0.8171167607,0.8861295103,0.4759561378,0.4759561378
linear,50,8,400,1,naive_bit,spillover_control,400,-0.069125,0.0087046601,0.1871120988,0.006663084964,0.1871120988,0.006663084964,0,0.174093202,0.1668459966,0.9583716919,0.9125,0.01412831819,0.8807392674,0.9364130898,0.6705791662,0.6705791662
linear,50,8,400,1,naive_bit,spillover_treated,400,-0.08103125,0.009319923719,0.203035942,0.008133863995,0.203035942,0.008133863995,0,0.1863984744,0.1845766473,0.9902261693,0.9325,0.01254429651,0.9035733346,0.9531985308,0.7418413194,0.7418413194
linear,50,8,400,1,nonprivate,direct_high,400,0.00588592904,0.004481341315,0.08970802492,0.003545459745,0.08970802492,0.003545459745,0,0.08962682631,0.09100808313,1.015411199,0.955,0.01036520622,0.9299952708,0.9713485413,0.3657751805,0.3657751805
linear,50,8,400,1,nonprivate,direct_low,400,-0.008892600466,0.004144694945,0.08326642974,0.00304431804,0.08326642974,0.00304431804,0,0.0828938989,0.0774648199,0.9345056866,0.92,0.01356465997,0.8892454232,0.9427642496,0.3113427676,0.3113427676
linear,50,8,400,1,nonprivate,spillover_control,400,-0.003009461889,0.006247450246,0.1248290033,0.004926089276,0.1248290033,0.004926089276,0,0.1249490049,0.1241448867,0.993564429,0.945,0.01139901312,0.9181325522,0.9634015059,0.4989569804,0.4989569804
linear,50,8,400,1,nonprivate,spillover_treated,400,0.01176906762,0.008213140261,0.1644789484,0.005932442346,0.1644789484,0.005932442346,0,0.1642628052,0.1701253015,1.035689737,0.95,0.01089724736,0.9240363649,0.9674025702,0.6837591862,0.6837591862
linear,50,8,400,1,one_bit,direct_high,400,-0.001536115645,0.01045094384,0.2087630912,0.007294104038,0.2087630912,0.007294104038,0,0.2090188767,0.2081244926,0.9957210365,0.9525,0.01063528914,0.9270084506,0.969382923,0.8364836531,0.8334111659
linear,50,8,400,1,one_bit,direct_low,400,0.0005583708134,0.0105679884,0.2110961414,0.007983182297,0.2107518348,0.00780483566,0.0025,0.211359768,0.2016085041,0.9538641435,0.935,0.01232629304,0.9064647858,0.9552595181,0.8102949148,0.8050882208
linear,50,8,400,1,one_bit,spillover_control,400,0.009641909921,0.01201635359,0.2402200557,0.008442217997,0.2402200557,0.008442217997,0,0.2403270719,0.2250380549,0.9363824604,0.93,0.01275735082,0.9006910536,0.9511283733,0.9044618049,0.8935902175
linear,50,8,400,1,one_bit,spillover_treated,400,0.007547423462,0.01309602232,0.2617016967,0.009500511122,0.2617016967,0.009500511122,0,0.2619204464,0.2523089535,0.9633037701,0.935,0.01232629304,0.9064647858,0.9552595181,1.01406765,1.00312297
linear,50,8,400,2,laplace,direct_high,400,-0.003685645707,0.007822534044,0.1562984565,0.00570427306,0.1562984565,0.00570427306,0,0.1564506809,0.1558733424,0.9963097732,0.9525,0.01063528914,0.9270084506,0.969382923,0.626478418,0.626478418
